invoice,stockcode
1015,enlatados
1015,water
1015,queso
1015,licor
1015,aceite
1015,chocolate
1016,galletas
1016,sal
1016,yogurt
1016,azucar
1016,water
1016,chocolate
1016,queso
1016,postres
1017,galletas
1017,azucar
1017,soda
1017,papas
1017,cuidado personal
1017,yogurt
1017,pollo
1017,arroz
1017,carne
1017,sal
1017,licor
1018,harina
1018,water
1018,galletas
1018,licor
1018,queso
1018,azucar
1018,cuidado personal
1018,carne
1018,panaderia
1018,yogurt
1018,pescado
1018,helado
1018,sal
1018,papas
1018,chocolate
1019,azucar
1019,galletas
1019,queso
1019,pollo
1019,chocolate
1019,yogurt
1019,enlatados
1019,arroz
1020,licor
1020,azucar
1020,galletas
1020,yogurt
1020,panaderia
1020,sal
1020,pollo
1020,pasta
1020,soda
1021,galletas
1021,soda
1021,yogurt
1021,water
1021,postres
1021,azucar
1021,chocolate
1021,arroz
1021,licor
1022,galletas
1022,panaderia
1022,cuidado personal
1022,azucar
1022,pollo
1022,frutas
1022,chocolate
1022,yogurt
1022,licor
1022,soda
1022,postres
1022,helado
1022,water
1022,vegetales
1023,galletas
1023,water
1023,chocolate
1023,postres
1023,queso
1023,yogurt
1023,frutas
1023,arroz
1023,licor
1023,sal
1023,azucar
1023,pollo
1024,azucar
1024,galletas
1024,yogurt
1024,queso
1024,granos
1024,licor
1024,arroz
1024,sal
1024,postres
1025,azucar
1025,yogurt
1025,galletas
1025,helado
1025,chocolate
1025,water
1025,licor
1025,panaderia
1025,granos
1025,arroz
1026,galletas
1026,panaderia
1026,azucar
1026,chocolate
1026,enlatados
1026,papas
1026,pollo
1026,licor
1026,postres
1026,cuidado personal
1027,galletas
1027,azucar
1027,water
1027,pescado
1027,queso
1027,papas
1027,pollo
1028,frutas
1028,pollo
1028,panaderia
1028,arroz
1028,water
1028,galletas
1028,yogurt
1028,azucar
1028,licor
1028,helado
1029,enlatados
1029,chocolate
1029,galletas
1029,azucar
1029,pollo
1029,yogurt
1029,arroz
1029,licor
1029,papas
1030,helado
1030,azucar
1030,cuidado personal
1030,enlatados
1030,yogurt
1030,arroz
1030,galletas
1030,queso
1030,papas
1031,yogurt
1031,galletas
1031,azucar
1031,arroz
1031,chocolate
1031,papas
1031,vegetales
1031,pollo
1031,water
1031,queso
1032,azucar
1032,chocolate
1032,galletas
1032,vegetales
1032,helado
1032,enlatados
1032,frutas
1032,yogurt
1033,azucar
1033,queso
1033,galletas
1033,yogurt
1033,papas
1033,cafe
1033,chocolate
1034,galletas
1034,granos
1034,water
1034,azucar
1034,yogurt
1034,panaderia
1034,pollo
1034,postres
1034,chocolate
1034,licor
1035,azucar
1035,galletas
1035,yogurt
1035,water
1035,postres
1035,queso
1035,harina
1035,licor
1035,panela
1035,frutas
1036,galletas
1036,pasta
1036,chocolate
1036,queso
1036,arroz
1036,yogurt
1036,azucar
1036,carne
1037,carne
1037,aceite
1037,galletas
1037,water
1037,yogurt
1037,azucar
1037,queso
1037,arroz
1037,pescado
1037,postres
1037,helado
1037,pollo
1038,panaderia
1038,azucar
1038,water
1038,yogurt
1038,pollo
1038,helado
1038,arroz
1038,soda
1038,papas
1038,galletas
1039,water
1039,azucar
1039,galletas
1039,helado
1039,yogurt
1039,queso
1039,cuidado personal
1039,arroz
1039,chocolate
1039,licor
1040,pollo
1040,azucar
1040,galletas
1040,licor
1040,cuidado personal
1040,pasta
1040,panaderia
1040,yogurt
1040,sal
1041,azucar
1041,galletas
1041,helado
1041,queso
1041,cuidado personal
1041,pollo
1041,granos
1041,yogurt
1041,water
1041,chocolate
1041,harina
1042,panaderia
1042,licor
1042,azucar
1042,arroz
1042,helado
1042,galletas
1042,cuidado personal
1042,yogurt
1042,soda
1042,frutas
1043,yogurt
1043,water
1043,postres
1043,galletas
1043,licor
1043,frutas
1043,sal
1043,vegetales
1043,panaderia
1043,harina
1044,chocolate
1044,soda
1044,yogurt
1044,queso
1044,cafe
1044,azucar
1044,sal
1044,carne
1044,galletas
1044,pescado
1044,helado
1044,postres
1044,cuidado personal
1044,panaderia
1044,arroz
1045,frutas
1045,galletas
1045,water
1045,azucar
1045,helado
1045,yogurt
1045,licor
1045,chocolate
1045,panaderia
1046,panaderia
1046,azucar
1046,helado
1046,arroz
1046,galletas
1046,granos
1046,frutas
1046,chocolate
1046,licor
1046,queso
1046,yogurt
1046,sal
1047,galletas
1047,huevos
1047,azucar
1047,yogurt
1047,carne
1047,chocolate
1047,pollo
1047,water
1047,queso
1048,pollo
1048,arroz
1048,azucar
1048,helado
1048,licor
1048,yogurt
1048,galletas
1048,panaderia
1049,arroz
1049,galletas
1049,azucar
1049,yogurt
1049,cafe
1049,licor
1049,pollo
1049,chocolate
1050,azucar
1050,galletas
1050,yogurt
1050,chocolate
1050,pasta
1050,pescado
1050,papas
1050,water
1050,panaderia
1050,helado
1050,arroz
1050,licor
1050,sal
1050,granos
1050,queso
1050,pollo
1051,yogurt
1051,galletas
1051,queso
1051,azucar
1051,chocolate
1051,postres
1051,licor
1051,panela
1051,aceite
1051,frutas
1051,arroz
1051,cafe
1052,granos
1052,galletas
1052,azucar
1052,pasta
1052,arroz
1052,yogurt
1052,queso
1052,water
1052,licor
1053,carne
1053,cuidado personal
1053,panela
1053,harina
1053,chocolate
1053,galletas
1053,azucar
1053,yogurt
1053,panaderia
1053,enlatados
1053,arroz
1053,frutas
1054,azucar
1054,pasta
1054,chocolate
1054,galletas
1054,licor
1054,yogurt
1054,helado
1054,water
1054,papas
1054,panaderia
1055,yogurt
1055,galletas
1055,panaderia
1055,helado
1055,carne
1055,cuidado personal
1055,chocolate
1055,postres
1055,harina
1055,frutas
1055,pollo
1056,azucar
1056,helado
1056,galletas
1056,yogurt
1056,licor
1056,postres
1056,panaderia
1056,chocolate
1056,cuidado personal
1057,yogurt
1057,chocolate
1057,galletas
1057,azucar
1057,margarina
1057,panela
1057,frutas
1057,panaderia
1057,sal
1057,postres
1058,yogurt
1058,queso
1058,galletas
1058,azucar
1058,cuidado personal
1058,vegetales
1058,chocolate
1059,pollo
1059,galletas
1059,azucar
1059,postres
1059,yogurt
1059,panaderia
1059,carne
1059,queso
1059,arroz
1059,vegetales
1060,carne
1060,cuidado personal
1060,helado
1060,azucar
1060,yogurt
1060,panaderia
1060,galletas
1060,pasta
1060,vegetales
1060,postres
1060,pollo
1061,azucar
1061,yogurt
1061,cuidado personal
1061,water
1061,galletas
1061,arroz
1061,pasta
1061,sal
1061,enlatados
1061,panela
1061,chocolate
1061,harina
1062,yogurt
1062,azucar
1062,sal
1062,pollo
1062,queso
1062,galletas
1062,water
1062,postres
1062,helado
1062,licor
1063,galletas
1063,azucar
1063,chocolate
1063,licor
1063,yogurt
1063,queso
1063,papas
1063,pollo
1063,helado
1064,water
1064,queso
1064,licor
1064,galletas
1064,yogurt
1064,cafe
1064,azucar
1064,panaderia
1064,soda
1064,frutas
1064,helado
1064,pollo
1065,azucar
1065,galletas
1065,helado
1065,yogurt
1065,postres
1065,aceite
1065,chocolate
1065,sal
1065,cuidado personal
1065,pollo
1065,licor
1065,leche
1066,licor
1066,azucar
1066,galletas
1066,queso
1066,yogurt
1066,arroz
1066,pollo
1066,panaderia
1067,pollo
1067,yogurt
1067,azucar
1067,galletas
1067,panaderia
1067,chocolate
1067,enlatados
1067,panela
1067,arroz
1067,vegetales
1067,licor
1068,helado
1068,galletas
1068,licor
1068,azucar
1068,pollo
1068,panaderia
1068,yogurt
1068,soda
1068,frutas
1068,queso
1068,postres
1068,chocolate
1069,azucar
1069,queso
1069,galletas
1069,carne
1069,papas
1069,yogurt
1069,soda
1069,vegetales
1070,azucar
1070,galletas
1070,queso
1070,licor
1070,pollo
1070,postres
1070,yogurt
1070,huevos
1070,chocolate
1070,panaderia
1070,sal
1071,azucar
1071,helado
1071,licor
1071,chocolate
1071,galletas
1071,pollo
1071,panela
1071,arroz
1071,leche
1071,panaderia
1071,yogurt
1071,aseo
1072,yogurt
1072,chocolate
1072,papas
1072,azucar
1072,galletas
1072,water
1072,licor
1072,queso
1072,harina
1072,panaderia
1073,galletas
1073,panela
1073,postres
1073,azucar
1073,licor
1073,yogurt
1073,chocolate
1073,granos
1073,water
1073,pescado
1073,queso
1073,vegetales
1073,leche
1074,queso
1074,cuidado personal
1074,water
1074,postres
1074,yogurt
1074,pasta
1074,chocolate
1074,carne
1074,galletas
1074,azucar
1074,panaderia
1074,soda
1075,azucar
1075,galletas
1075,pollo
1075,yogurt
1075,queso
1075,cuidado personal
1075,panaderia
1075,licor
1075,margarina
1075,chocolate
1076,frutas
1076,harina
1076,galletas
1076,papas
1076,pollo
1076,water
1076,azucar
1076,carne
1076,pasta
1077,galletas
1077,yogurt
1077,queso
1077,arroz
1077,postres
1077,pollo
1077,water
1078,enlatados
1078,pollo
1078,yogurt
1078,galletas
1078,chocolate
1078,arroz
1078,azucar
1078,panaderia
1079,pollo
1079,galletas
1079,cuidado personal
1079,licor
1079,pescado
1079,water
1079,yogurt
1079,queso
1079,chocolate
1079,carne
1079,azucar
1079,arroz
1080,cafe
1080,azucar
1080,yogurt
1080,arroz
1080,chocolate
1080,helado
1080,licor
1080,harina
1080,galletas
1080,pollo
1080,papas
1081,licor
1081,yogurt
1081,cuidado personal
1081,azucar
1081,galletas
1081,water
1081,panaderia
1081,chocolate
1081,panela
1082,azucar
1082,galletas
1082,yogurt
1082,arroz
1082,chocolate
1082,helado
1083,galletas
1083,yogurt
1083,azucar
1083,carne
1083,panela
1083,licor
1083,chocolate
1083,pollo
1083,panaderia
1084,frutas
1084,galletas
1084,azucar
1084,chocolate
1084,harina
1084,pollo
1084,arroz
1084,papas
1084,panaderia
1084,yogurt
1084,water
1084,queso
1084,licor
1085,yogurt
1085,galletas
1085,cuidado personal
1085,carne
1085,azucar
1085,panela
1085,queso
1085,chocolate
1085,helado
1086,chocolate
1086,panaderia
1086,yogurt
1086,harina
1086,azucar
1086,licor
1086,cuidado personal
1086,helado
1086,arroz
1087,water
1087,postres
1087,azucar
1087,yogurt
1087,chocolate
1087,granos
1087,queso
1087,galletas
1087,helado
1087,licor
1088,pollo
1088,postres
1088,yogurt
1088,azucar
1088,queso
1088,galletas
1088,licor
1088,frutas
1088,arroz
1088,helado
1088,chocolate
1089,pollo
1089,azucar
1089,licor
1089,chocolate
1089,yogurt
1089,galletas
1089,enlatados
1089,postres
1090,sal
1090,galletas
1090,azucar
1090,granos
1090,postres
1090,yogurt
1090,arroz
1090,panaderia
1090,water
1090,papas
1090,queso
1090,helado
1091,azucar
1091,panaderia
1091,galletas
1091,yogurt
1091,water
1091,queso
1091,licor
1091,arroz
1091,sal
1092,azucar
1092,galletas
1092,licor
1092,yogurt
1092,papas
1092,arroz
1092,harina
1092,aseo
1092,postres
1092,queso
1092,huevos
1093,galletas
1093,arroz
1093,panaderia
1093,yogurt
1093,postres
1093,licor
1093,papas
1093,azucar
1093,carne
1094,azucar
1094,chocolate
1094,water
1094,yogurt
1094,sal
1094,galletas
1094,pollo
1094,arroz
1095,galletas
1095,panela
1095,licor
1095,yogurt
1095,sal
1095,azucar
1095,chocolate
1096,azucar
1096,yogurt
1096,chocolate
1096,soda
1096,helado
1096,arroz
1096,panaderia
1096,water
1096,galletas
1096,licor
1097,arroz
1097,galletas
1097,azucar
1097,chocolate
1097,queso
1097,yogurt
1097,panaderia
1098,yogurt
1098,arroz
1098,azucar
1098,pollo
1098,enlatados
1098,chocolate
1098,panaderia
1098,galletas
1098,licor
1098,queso
1098,postres
1099,azucar
1099,galletas
1099,postres
1099,yogurt
1099,pasta
1099,enlatados
1099,licor
1099,pescado
1099,soda
1100,licor
1100,pescado
1100,water
1100,galletas
1100,yogurt
1100,cafe
1100,harina
1100,panaderia
1100,chocolate
1100,postres
1100,azucar
1100,sal
1101,galletas
1101,yogurt
1101,carne
1101,licor
1101,cuidado personal
1101,postres
1101,water
1101,papas
1101,azucar
1101,queso
1101,chocolate
1101,helado
1102,azucar
1102,licor
1102,yogurt
1102,cuidado personal
1102,frutas
1102,galletas
1102,panaderia
1102,chocolate
1103,vegetales
1103,galletas
1103,pasta
1103,chocolate
1103,queso
1103,azucar
1103,postres
1103,panaderia
1103,yogurt
1103,pollo
1103,papas
1103,cafe
1104,galletas
1104,sal
1104,queso
1104,postres
1104,yogurt
1104,panaderia
1104,arroz
1104,chocolate
1104,leche
1104,soda
1104,licor
1104,pollo
1105,soda
1105,chocolate
1105,galletas
1105,carne
1105,harina
1105,helado
1105,azucar
1105,postres
1105,yogurt
1105,queso
1106,yogurt
1106,pollo
1106,galletas
1106,chocolate
1106,helado
1106,aseo
1106,arroz
1106,azucar
1106,licor
1106,sal
1106,enlatados
1106,postres
1106,frutas
1107,azucar
1107,licor
1107,yogurt
1107,galletas
1107,chocolate
1107,carne
1107,sal
1108,harina
1108,galletas
1108,azucar
1108,licor
1108,helado
1108,soda
1108,yogurt
1108,pollo
1108,queso
1108,arroz
1108,sal
1108,water
1108,panaderia
1109,arroz
1109,azucar
1109,galletas
1109,water
1109,pollo
1109,licor
1109,yogurt
1109,postres
1109,chocolate
1109,granos
1109,helado
1109,queso
1110,chocolate
1110,licor
1110,galletas
1110,azucar
1110,water
1110,yogurt
1110,queso
1110,cuidado personal
1110,panaderia
1111,harina
1111,azucar
1111,galletas
1111,queso
1111,enlatados
1111,licor
1111,sal
1111,water
1111,yogurt
1111,panaderia
1111,soda
1111,chocolate
1111,arroz
1112,azucar
1112,galletas
1112,yogurt
1112,licor
1112,water
1112,queso
1112,helado
1112,carne
1112,panela
1113,helado
1113,postres
1113,azucar
1113,galletas
1113,pasta
1113,yogurt
1113,cuidado personal
1113,soda
1113,licor
1113,panela
1113,water
1113,queso
1114,arroz
1114,galletas
1114,helado
1114,azucar
1114,chocolate
1114,panaderia
1114,yogurt
1114,queso
1114,pollo
1115,enlatados
1115,postres
1115,harina
1115,galletas
1115,azucar
1115,water
1115,pollo
1115,sal
1115,queso
1115,chocolate
1115,panaderia
1116,chocolate
1116,yogurt
1116,postres
1116,panaderia
1116,azucar
1116,galletas
1116,enlatados
1116,pollo
1116,licor
1116,queso
1116,arroz
1116,cuidado personal
1117,azucar
1117,galletas
1117,cuidado personal
1117,postres
1117,chocolate
1117,panela
1117,margarina
1117,panaderia
1117,soda
1117,yogurt
1117,pollo
1117,queso
1117,carne
1117,arroz
1117,licor
1118,yogurt
1118,queso
1118,azucar
1118,galletas
1118,water
1118,arroz
1118,sal
1118,pollo
1118,helado
1119,galletas
1119,arroz
1119,yogurt
1119,leche
1119,helado
1119,azucar
1119,aceite
1119,sal
1119,papas
1119,queso
1119,carne
1119,chocolate
1120,galletas
1120,water
1120,queso
1120,azucar
1120,helado
1120,panaderia
1120,chocolate
1120,frutas
1120,arroz
1120,yogurt
1120,granos
1120,cuidado personal
1121,postres
1121,frutas
1121,yogurt
1121,aceite
1121,chocolate
1121,papas
1121,licor
1121,pollo
1121,water
1121,azucar
1121,helado
1121,sal
1121,queso
1122,galletas
1122,yogurt
1122,chocolate
1122,azucar
1122,pollo
1122,cuidado personal
1122,helado
1122,sal
1122,water
1122,leche
1122,arroz
1122,huevos
1123,licor
1123,panaderia
1123,azucar
1123,galletas
1123,granos
1123,yogurt
1123,sal
1123,arroz
1124,pescado
1124,licor
1124,soda
1124,water
1124,azucar
1124,pollo
1124,panaderia
1124,galletas
1124,yogurt
1124,sal
1124,queso
1124,postres
1124,harina
1125,azucar
1125,yogurt
1125,cuidado personal
1125,panela
1125,galletas
1125,panaderia
1125,water
1125,pollo
1126,yogurt
1126,licor
1126,azucar
1126,harina
1126,galletas
1126,cuidado personal
1126,panaderia
1126,papas
1126,postres
1127,azucar
1127,panela
1127,galletas
1127,licor
1127,granos
1127,carne
1127,helado
1127,yogurt
1127,arroz
1127,water
1128,postres
1128,azucar
1128,yogurt
1128,galletas
1128,frutas
1128,water
1128,helado
1128,pollo
1128,chocolate
1128,papas
1128,harina
1128,arroz
1129,azucar
1129,galletas
1129,queso
1129,postres
1129,panaderia
1129,arroz
1129,papas
1129,yogurt
1129,pollo
1129,frutas
1129,helado
1130,carne
1130,cuidado personal
1130,helado
1130,galletas
1130,pescado
1130,azucar
1130,chocolate
1130,queso
1130,postres
1130,arroz
1130,licor
1130,yogurt
1130,pollo
1131,licor
1131,galletas
1131,yogurt
1131,azucar
1131,cafe
1131,panaderia
1131,water
1131,postres
1131,leche
1131,helado
1131,chocolate
1131,granos
1131,queso
1132,galletas
1132,sal
1132,azucar
1132,postres
1132,helado
1132,yogurt
1132,chocolate
1132,aseo
1132,pollo
1133,licor
1133,chocolate
1133,pollo
1133,postres
1133,water
1133,queso
1133,yogurt
1133,galletas
1133,panaderia
1133,azucar
1133,carne
1134,galletas
1134,vegetales
1134,water
1134,yogurt
1134,azucar
1134,sal
1134,carne
1134,harina
1134,huevos
1134,panaderia
1134,helado
1134,papas
1134,chocolate
1134,pollo
1135,queso
1135,galletas
1135,harina
1135,yogurt
1135,pescado
1135,panaderia
1135,leche
1135,arroz
1135,water
1135,helado
1135,azucar
1136,yogurt
1136,azucar
1136,cuidado personal
1136,queso
1136,soda
1136,galletas
1136,postres
1136,licor
1136,carne
1136,aseo
1136,helado
1137,azucar
1137,pollo
1137,yogurt
1137,galletas
1137,chocolate
1137,cuidado personal
1137,water
1137,soda
1137,helado
1137,queso
1138,pasta
1138,galletas
1138,yogurt
1138,water
1138,helado
1138,chocolate
1138,soda
1138,pollo
1138,licor
1138,azucar
1139,water
1139,azucar
1139,galletas
1139,chocolate
1139,arroz
1139,yogurt
1139,frutas
1139,helado
1140,galletas
1140,papas
1140,water
1140,yogurt
1140,panaderia
1140,helado
1140,azucar
1140,queso
1140,enlatados
1140,frutas
1141,yogurt
1141,azucar
1141,panaderia
1141,licor
1141,chocolate
1141,helado
1141,galletas
1142,yogurt
1142,azucar
1142,harina
1142,carne
1142,galletas
1142,panaderia
1142,postres
1142,queso
1142,pollo
1142,helado
1142,leche
1143,azucar
1143,galletas
1143,pollo
1143,licor
1143,yogurt
1143,postres
1143,arroz
1143,chocolate
1143,vegetales
1143,granos
1143,soda
1144,galletas
1144,azucar
1144,panaderia
1144,queso
1144,chocolate
1144,papas
1144,huevos
1144,yogurt
1144,arroz
1145,azucar
1145,yogurt
1145,pollo
1145,margarina
1145,panaderia
1145,chocolate
1145,water
1145,galletas
1145,pasta
1145,huevos
1145,cuidado personal
1145,papas
1145,licor
1145,panela
1146,azucar
1146,water
1146,arroz
1146,galletas
1146,helado
1146,chocolate
1146,queso
1146,yogurt
1146,carne
1146,aseo
1146,postres
1147,yogurt
1147,galletas
1147,frutas
1147,pollo
1147,queso
1147,azucar
1147,cuidado personal
1147,huevos
1147,helado
1147,water
1147,aceite
1147,panela
1147,chocolate
1148,yogurt
1148,granos
1148,azucar
1148,galletas
1148,panaderia
1148,chocolate
1148,pescado
1148,arroz
1148,cafe
1149,water
1149,licor
1149,chocolate
1149,papas
1149,galletas
1149,frutas
1149,yogurt
1149,pollo
1149,azucar
1149,harina
1149,arroz
1149,panaderia
1150,galletas
1150,yogurt
1150,granos
1150,postres
1150,azucar
1150,licor
1150,papas
1150,panaderia
1150,queso
1150,frutas
1151,galletas
1151,helado
1151,yogurt
1151,licor
1151,enlatados
1151,water
1151,arroz
1152,aseo
1152,galletas
1152,pollo
1152,panela
1152,azucar
1152,licor
1152,yogurt
1152,water
1153,arroz
1153,azucar
1153,yogurt
1153,chocolate
1153,galletas
1153,panaderia
1153,queso
1153,frutas
1153,soda
1154,galletas
1154,azucar
1154,water
1154,arroz
1154,pollo
1154,licor
1154,huevos
1154,soda
1154,yogurt
1154,harina
1154,panaderia
1155,vegetales
1155,galletas
1155,frutas
1155,azucar
1155,queso
1155,chocolate
1155,harina
1155,leche
1155,licor
1156,soda
1156,frutas
1156,licor
1156,galletas
1156,chocolate
1156,yogurt
1156,water
1156,pollo
1156,granos
1157,yogurt
1157,chocolate
1157,galletas
1157,postres
1157,water
1157,pollo
1157,azucar
1157,frutas
1158,licor
1158,yogurt
1158,azucar
1158,galletas
1158,arroz
1158,panaderia
1158,water
1158,postres
1159,helado
1159,licor
1159,carne
1159,yogurt
1159,arroz
1159,panaderia
1159,galletas
1159,water
1159,azucar
1160,postres
1160,chocolate
1160,aceite
1160,yogurt
1160,galletas
1160,licor
1160,azucar
1160,water
1160,enlatados
1160,helado
1160,arroz
1160,sal
1161,vegetales
1161,galletas
1161,azucar
1161,papas
1161,postres
1161,chocolate
1161,pollo
1161,water
1162,azucar
1162,chocolate
1162,galletas
1162,enlatados
1162,yogurt
1162,cuidado personal
1162,licor
1162,postres
1163,azucar
1163,panaderia
1163,carne
1163,yogurt
1163,queso
1163,panela
1163,galletas
1163,arroz
1164,galletas
1164,papas
1164,yogurt
1164,panaderia
1164,water
1164,pollo
1164,chocolate
1164,soda
1164,azucar
1164,arroz
1164,leche
1164,queso
1165,water
1165,pollo
1165,galletas
1165,pescado
1165,yogurt
1165,arroz
1165,licor
1165,chocolate
1166,galletas
1166,azucar
1166,yogurt
1166,water
1166,chocolate
1166,pasta
1166,postres
1166,papas
1166,licor
1167,yogurt
1167,frutas
1167,panaderia
1167,galletas
1167,licor
1167,azucar
1167,postres
1167,soda
1167,chocolate
1167,harina
1167,helado
1167,carne
1168,arroz
1168,galletas
1168,pasta
1168,panaderia
1168,leche
1168,queso
1168,azucar
1168,sal
1168,yogurt
1168,cuidado personal
1168,chocolate
1168,papas
1168,margarina
1169,yogurt
1169,galletas
1169,azucar
1169,panaderia
1169,arroz
1169,soda
1169,postres
1169,pollo
1169,helado
1170,azucar
1170,yogurt
1170,queso
1170,helado
1170,licor
1170,galletas
1170,carne
1170,enlatados
1170,pollo
1170,postres
1170,chocolate
1171,licor
1171,yogurt
1171,galletas
1171,water
1171,pasta
1171,panaderia
1171,azucar
1171,harina
1171,helado
1171,postres
1171,arroz
1172,azucar
1172,galletas
1172,chocolate
1172,water
1172,yogurt
1172,pollo
1172,licor
1172,postres
1172,arroz
1173,yogurt
1173,pasta
1173,pollo
1173,galletas
1173,azucar
1173,arroz
1173,licor
1173,carne
1173,queso
1173,cafe
1173,helado
1174,enlatados
1174,yogurt
1174,azucar
1174,chocolate
1174,papas
1174,queso
1174,galletas
1174,licor
1175,azucar
1175,yogurt
1175,galletas
1175,chocolate
1175,water
1175,aceite
1175,licor
1175,granos
1175,papas
1176,queso
1176,carne
1176,azucar
1176,yogurt
1176,licor
1176,chocolate
1176,frutas
1176,galletas
1176,soda
1176,arroz
1176,water
1177,helado
1177,galletas
1177,yogurt
1177,pasta
1177,panaderia
1177,water
1177,papas
1177,licor
1177,azucar
1177,chocolate
1177,postres
1177,granos
1178,azucar
1178,arroz
1178,galletas
1178,pollo
1178,queso
1178,yogurt
1178,carne
1178,licor
1178,vegetales
1178,chocolate
1178,pescado
1179,galletas
1179,papas
1179,yogurt
1179,harina
1179,licor
1179,water
1179,azucar
1179,queso
1179,chocolate
1179,cafe
1180,arroz
1180,panaderia
1180,soda
1180,azucar
1180,galletas
1180,yogurt
1180,vegetales
1180,chocolate
1180,licor
1180,carne
1180,papas
1180,postres
1181,galletas
1181,queso
1181,licor
1181,azucar
1181,sal
1181,soda
1181,helado
1181,pollo
1181,chocolate
1181,yogurt
1182,galletas
1182,helado
1182,panela
1182,papas
1182,yogurt
1182,azucar
1182,postres
1183,chocolate
1183,azucar
1183,yogurt
1183,cuidado personal
1183,galletas
1183,helado
1183,licor
1183,panaderia
1183,water
1183,pollo
1183,postres
1183,granos
1184,arroz
1184,yogurt
1184,galletas
1184,queso
1184,pollo
1184,sal
1184,azucar
1184,granos
1184,licor
1184,carne
1184,postres
1185,galletas
1185,arroz
1185,yogurt
1185,water
1185,azucar
1185,queso
1185,pollo
1185,postres
1185,helado
1186,soda
1186,water
1186,azucar
1186,chocolate
1186,yogurt
1186,galletas
1186,arroz
1186,pollo
1186,aceite
1187,azucar
1187,galletas
1187,yogurt
1187,arroz
1187,licor
1187,panaderia
1188,azucar
1188,galletas
1188,queso
1188,arroz
1188,panaderia
1188,frutas
1188,margarina
1188,chocolate
1188,papas
1188,yogurt
1189,soda
1189,panaderia
1189,azucar
1189,carne
1189,yogurt
1189,pollo
1189,galletas
1189,licor
1189,postres
1189,chocolate
1189,queso
1189,arroz
1190,azucar
1190,galletas
1190,yogurt
1190,water
1190,sal
1190,queso
1190,helado
1191,yogurt
1191,galletas
1191,azucar
1191,licor
1191,soda
1191,water
1191,cafe
1191,arroz
1192,sal
1192,yogurt
1192,galletas
1192,azucar
1192,water
1192,licor
1192,cuidado personal
1192,chocolate
1192,panela
1192,postres
1193,galletas
1193,yogurt
1193,licor
1193,postres
1193,azucar
1193,queso
1193,arroz
1193,helado
1193,soda
1194,pollo
1194,yogurt
1194,vegetales
1194,sal
1194,water
1194,enlatados
1194,galletas
1194,panaderia
1194,cafe
1194,postres
1194,azucar
1195,yogurt
1195,azucar
1195,chocolate
1195,licor
1195,postres
1195,panaderia
1195,carne
1195,arroz
1195,cuidado personal
1195,galletas
1195,water
1196,azucar
1196,postres
1196,helado
1196,galletas
1196,carne
1196,papas
1196,yogurt
1196,water
1196,cuidado personal
1196,licor
1197,yogurt
1197,azucar
1197,galletas
1197,panaderia
1197,helado
1197,pollo
1198,galletas
1198,azucar
1198,postres
1198,yogurt
1198,helado
1198,papas
1198,pescado
1198,frutas
1198,soda
1199,galletas
1199,yogurt
1199,pollo
1199,water
1199,azucar
1199,chocolate
1199,licor
1200,galletas
1200,azucar
1200,arroz
1200,yogurt
1200,licor
1200,pollo
1201,azucar
1201,queso
1201,papas
1201,galletas
1201,chocolate
